nro.;Case de Prueba;description;title;instruction;code;disclaimer;typeCode;status;enabled;codigo;codbody;rtoken
1;Listar promocion exitoso - resultado 200;10% de descuento pagando con Tunki;Cineplanet;De lunes a viernes de 10:30 am a 11:00 PM;123456789;Presenta esta promoción al momento de hacer el pago con Tunki.;1;1;true;200;;
2;Listar promocion con parametros en blanco - resultado 200;;;;;;;;;200;;
3;Listar promocion con description en blanco - resultado 200;;Cineplanet;De lunes a viernes de 10:30 am a 11:00 PM;123456789;Presenta esta promoción al momento de hacer el pago con Tunki.;1;1;true;200;;
4;Listar promocion con description caracteres especiales - resultado 400;$&#+*-.&$;Cineplanet;De lunes a viernes de 10:30 am a 11:00 PM;123456789;Presenta esta promoción al momento de hacer el pago con Tunki.;1;1;true;400;;
5;Listar promocion con description menor a carateres permitidos - resultado 400;df;Cineplanet;De lunes a viernes de 10:30 am a 11:00 PM;123456789;Presenta esta promoción al momento de hacer el pago con Tunki.;1;1;true;400;;
6;Listar promocion con description mayor a carateres permitidos - resultado 400;50% de descuento pagando con Tunki50% de descuento pagando con Tunki50% de descuento pagando con Tunki50% de descuento pagando con Tunki50% de descuento pagando con Tunki50% de descuento pagando con Tunki50% de descuento pagando con Tunki50% de descuentoss;Cineplanet;De lunes a viernes de 10:30 am a 11:00 PM;123456789;Presenta esta promoción al momento de hacer el pago con Tunki.;1;1;true;400;;
7;Listar promocion con title en blanco - resultado 400;50% de descuento pagando con Tunki;;De lunes a viernes de 10:30 am a 11:00 PM;123456789;Presenta esta promoción al momento de hacer el pago con Tunki.;1;1;true;400;;
8;Listar promocion con title caracteres especiales - resultado 400;50% de descuento pagando con Tunki;#$&+&$#.+*;De lunes a viernes de 10:30 am a 11:00 PM;123456789;Presenta esta promoción al momento de hacer el pago con Tunki.;1;1;true;400;;
9;Listar promocion con title menor a carateres permitidos - resultado 400;50% de descuento pagando con Tunki;fg;De lunes a viernes de 10:30 am a 11:00 PM;123456789;Presenta esta promoción al momento de hacer el pago con Tunki.;1;1;true;400;;
10;Listar promocion con title mayor a carateres permitidos - resultado 400;50% de descuento pagando con Tunki;50% de descuento pagando con Tunki50% de descuento pagando con Tunki50% de descuento pagando con Tunki50% de descuento pagando con Tunki50% de descuento pagando con Tunki50% de descuento pagando con Tunki50% de descuento pagando con Tunki50% de descuentoss;De lunes a viernes de 10:30 am a 11:00 PM;123456789;Presenta esta promoción al momento de hacer el pago con Tunki.;1;1;true;400;;
11;Listar promocion con instruction en blanco - resultado 400;50% de descuento pagando con Tunki;Cineplanet;;123456789;Presenta esta promoción al momento de hacer el pago con Tunki.;1;1;true;400;;
12;Listar promocion con instruction caracteres especiales - resultado 400;50% de descuento pagando con Tunki;Cineplanet;#$&+-+&$#;123456789;Presenta esta promoción al momento de hacer el pago con Tunki.;1;1;true;400;;
13;Listar promocion con instruction menor a carateres permitidos - resultado 400;50% de descuento pagando con Tunki;Cineplanet;gh;123456789;Presenta esta promoción al momento de hacer el pago con Tunki.;1;1;true;400;;
14;Listar promocion con instruction mayor a carateres permitidos - resultado 400;50% de descuento pagando con Tunki;Cineplanet;50% de descuento pagando con Tunki50% de descuento pagando con Tunki50% de descuento pagando con Tunki50% de descuento pagando con Tunki50% de descuento pagando con Tunki50% de descuento pagando con Tunki50% de descuento pagando con Tunki50% de descuentoss;123456789;Presenta esta promoción al momento de hacer el pago con Tunki.;1;1;true;400;;
15;Listar promocion con code en blanco - resultado 400;50% de descuento pagando con Tunki;Cineplanet;De lunes a viernes de 10:30 am a 11:00 PM;;Presenta esta promoción al momento de hacer el pago con Tunki.;1;1;true;400;;
16;Listar promocion con code caracteres especiales - resultado 400;50% de descuento pagando con Tunki;Cineplanet;De lunes a viernes de 10:30 am a 11:00 PM;$#&$#+*;Presenta esta promoción al momento de hacer el pago con Tunki.;1;1;true;400;;
17;Listar promocion con code menor a carateres permitidos - resultado 400;50% de descuento pagando con Tunki;Cineplanet;De lunes a viernes de 10:30 am a 11:00 PM;dc;Presenta esta promoción al momento de hacer el pago con Tunki.;1;1;true;400;;
18;Listar promocion con code mayor a carateres permitidos - resultado 400;50% de descuento pagando con Tunki;Cineplanet;De lunes a viernes de 10:30 am a 11:00 PM;50% de descuento pagando con Tunki50% de descuento pagando con Tunki50% de descuento pagando con Tunki50% de descuento pagando con Tunki50% de descuento pagando con Tunki50% de descuento pagando con Tunki50% de descuento pagando con Tunki50% de descuentosshttps://firebasestorage.googleapis.com/v0/b/pe-grupo-intercorp-cld-01.appspot.com/o/benefit%2Fpromotion%2Fsarcletti_background.png?alt=media&token=0f3dd8dc-7a8a-441b-bcce-393d29ef72d5https://firebasestorage.googleapis.com/v0/b/pe-grupo-intercor1234e45;Presenta esta promoción al momento de hacer el pago con Tunki.;1;1;true;400;;
19;Listar promocion con disclaimer en blanco - resultado 400;50% de descuento pagando con Tunki;Cineplanet;De lunes a viernes de 10:30 am a 11:00 PM;123456789;;1;1;true;400;;
20;Listar promocion con disclaimer caracteres especiales - resultado 400;50% de descuento pagando con Tunki;Cineplanet;De lunes a viernes de 10:30 am a 11:00 PM;123456789;*$#&+*-_+;1;1;true;400;;
21;Listar promocion con disclaimer menor a carateres permitidos - resultado 400;50% de descuento pagando con Tunki;Cineplanet;De lunes a viernes de 10:30 am a 11:00 PM;123456789;cd;1;1;true;400;;
22;Listar promocion con disclaimer mayor a carateres permitidos - resultado 400;50% de descuento pagando con Tunki;Cineplanet;De lunes a viernes de 10:30 am a 11:00 PM;123456789;50% de descuento pagando con Tunki50% de descuento pagando con Tunki50% de descuento pagando con Tunki50% de descuento pagando con Tunki50% de descuento pagando con Tunki50% de descuento pagando con Tunki50% de descuento pagando con Tunki50% de descuentosshttps://firebasestorage.g393d29ef72d5https://firebasestorage.googleapis.com/v0/b/pe-grupo-intercor1234e45;1;1;true;400;;
23;Listar promocion con typeCode en blanco - resultado 400;50% de descuento pagando con Tunki;Cineplanet;De lunes a viernes de 10:30 am a 11:00 PM;123456789;Presenta esta promoción al momento de hacer el pago con Tunki.;1;;true;400;;
24;Listar promocion con typeCode caracteres especiales - resultado 400;50% de descuento pagando con Tunki;Cineplanet;De lunes a viernes de 10:30 am a 11:00 PM;123456789;Presenta esta promoción al momento de hacer el pago con Tunki.;1;#$;true;400;;
25;Listar promocion con typeCode menor a carateres permitidos - resultado 400;50% de descuento pagando con Tunki;Cineplanet;De lunes a viernes de 10:30 am a 11:00 PM;123456789;Presenta esta promoción al momento de hacer el pago con Tunki.;1;0;true;400;;
26;Listar promocion con typeCode mayor a carateres permitidos - resultado 400;50% de descuento pagando con Tunki;Cineplanet;De lunes a viernes de 10:30 am a 11:00 PM;123456789;Presenta esta promoción al momento de hacer el pago con Tunki.;1;1.00E+13;true;400;;
27;Listar promocion con status en blanco - resultado 400;50% de descuento pagando con Tunki;Cineplanet;De lunes a viernes de 10:30 am a 11:00 PM;123456789;Presenta esta promoción al momento de hacer el pago con Tunki.;1;;true;400;;
28;Listar promocion con status caracteres especiales - resultado 400;50% de descuento pagando con Tunki;Cineplanet;De lunes a viernes de 10:30 am a 11:00 PM;123456789;Presenta esta promoción al momento de hacer el pago con Tunki.;1;#$;true;400;;
29;Listar promocion con status menor a carateres permitidos - resultado 400;50% de descuento pagando con Tunki;Cineplanet;De lunes a viernes de 10:30 am a 11:00 PM;123456789;Presenta esta promoción al momento de hacer el pago con Tunki.;1;0;true;400;;
30;Listar promocion con status mayor a carateres permitidos - resultado 400;50% de descuento pagando con Tunki;Cineplanet;De lunes a viernes de 10:30 am a 11:00 PM;123456789;Presenta esta promoción al momento de hacer el pago con Tunki.;1;1.00E+13;true;400;;
31;Listar promocion con enabled en blanco - resultado 400;50% de descuento pagando con Tunki;Cineplanet;De lunes a viernes de 10:30 am a 11:00 PM;123456789;Presenta esta promoción al momento de hacer el pago con Tunki.;1;1;;400;;
32;Listar promocion con enabled caracteres especiales - resultado 400;50% de descuento pagando con Tunki;Cineplanet;De lunes a viernes de 10:30 am a 11:00 PM;123456789;Presenta esta promoción al momento de hacer el pago con Tunki.;1;1;#&$#;400;;
33;Listar promocion con enabled menor a carateres permitidos - resultado 400;50% de descuento pagando con Tunki;Cineplanet;De lunes a viernes de 10:30 am a 11:00 PM;123456789;Presenta esta promoción al momento de hacer el pago con Tunki.;1;1;t;400;;
34;Listar promocion con enabled mayor a carateres permitidos - resultado 400;50% de descuento pagando con Tunki;Cineplanet;De lunes a viernes de 10:30 am a 11:00 PM;123456789;Presenta esta promoción al momento de hacer el pago con Tunki.;1;1;trueE;400;;
35;Listar promocion con error interno - resultado 500;50% de descuento pagando con Tunki;Cineplanet;De lunes a viernes de 10:30 am a 11:00 PM;123456789;Presenta esta promoción al momento de hacer el pago con Tunki.;1;1;true;500;;
