nro.;Case de Prueba;price;currencyType;informationLabel;color;buttonLabel;section;description;title;instruction;imageUrl;logoUrl;code;disclaimer;typeCode;startTime;endTime;enabled;status;lstDealCategory;lstDealCondition;commerceReference;createdUser;codigo;codbody;rtoken
1;Registrar promocion exitoso - resultado 201;5;PEN;Sabados;#002b65;Ver detalles;ALL;50% de descuento pagando con Tunki;Cineplanet;De lunes a viernes de 10:30 am a 11:00 PM;https://firebasestorage.googleapis.com/v0/b/pe-grupo-intercorp-cld-01.appspot.com/o/benefit%2Fpromotion%2Fsarcletti_background.png?alt=media&token=0f3dd8dc-7a8a-441b-bcce-393d29ef72d5;https://firebasestorage.googleapis.com/v0/b/pe-grupo-intercorp-cld-01.appspot.com/o/benefit%2Fpromotion%2Fsarcletti_logo.png?alt=media&token=4e59e3f0-292c-49ea-b4e7-6e1d4bfb140b;123456789;Presenta esta promoción al momento de hacer el pago con Tunki.;1;4/12/4009;31/12/4009;true;1;"[
    {
      ""category"": {
        ""categoryId"": ""0e8400-e29b-41d4-a716-446655440000""
      }
    }
  ]";"[
    {
      ""description"": ""Solo en tiendas seleccionadas"";
      ""iconUrl"": ""https://firebasestorage.googleapis.com/v0/b/pe-grupo-intercorp-cld-01.appspot.com/o/benefit%2Fpromotion%2Fcondition%2FIcono_tarjeta%403x.png?alt=media&token=18a497d7-d97b-4714-8e85-f93032e3bfed""
    }
  ]";"{
    ""commerceId"": ""0e8400-e29b-41d4-a716-446655440000"";
    ""lstStoreReference"": [
      {
        ""storeId"": ""0e8400-e29b-41d4-a716-446655440000""
      }
    ]
  }";923456723-qafjf-414sffs;201;;
2;Registrar promocion ya registrada - resultado 201;5;PEN;Sabados;#002b65;Ver detalles;ALL;50% de descuento pagando con Tunki;Cineplanet;De lunes a viernes de 10:30 am a 11:00 PM;https://firebasestorage.googleapis.com/v0/b/pe-grupo-intercorp-cld-01.appspot.com/o/benefit%2Fpromotion%2Fsarcletti_background.png?alt=media&token=0f3dd8dc-7a8a-441b-bcce-393d29ef72d5;https://firebasestorage.googleapis.com/v0/b/pe-grupo-intercorp-cld-01.appspot.com/o/benefit%2Fpromotion%2Fsarcletti_logo.png?alt=media&token=4e59e3f0-292c-49ea-b4e7-6e1d4bfb140b;123456789;Presenta esta promoción al momento de hacer el pago con Tunki.;1;4/12/4009;31/12/4009;true;1;"[
    {
      ""category"": {
        ""categoryId"": ""0e8400-e29b-41d4-a716-446655440000""
      }
    }
  ]";"[
    {
      ""description"": ""Solo en tiendas seleccionadas"";
      ""iconUrl"": ""https://firebasestorage.googleapis.com/v0/b/pe-grupo-intercorp-cld-01.appspot.com/o/benefit%2Fpromotion%2Fcondition%2FIcono_tarjeta%403x.png?alt=media&token=18a497d7-d97b-4714-8e85-f93032e3bfed""
    }
  ]";"{
    ""commerceId"": ""0e8400-e29b-41d4-a716-446655440000"";
    ""lstStoreReference"": [
      {
        ""storeId"": ""0e8400-e29b-41d4-a716-446655440000""
      }
    ]
  }";923456723-qafjf-414sffs;201;;
3;Registrar promocion con price en blanco - resultado 400;;PEN;Sabados;#002b65;Ver detalles;ALL;50% de descuento pagando con Tunki;Cineplanet;De lunes a viernes de 10:30 am a 11:00 PM;https://firebasestorage.googleapis.com/v0/b/pe-grupo-intercorp-cld-01.appspot.com/o/benefit%2Fpromotion%2Fsarcletti_background.png?alt=media&token=0f3dd8dc-7a8a-441b-bcce-393d29ef72d5;https://firebasestorage.googleapis.com/v0/b/pe-grupo-intercorp-cld-01.appspot.com/o/benefit%2Fpromotion%2Fsarcletti_logo.png?alt=media&token=4e59e3f0-292c-49ea-b4e7-6e1d4bfb140b;123456789;Presenta esta promoción al momento de hacer el pago con Tunki.;1;4/12/4009;31/12/4009;true;1;"[
    {
      ""category"": {
        ""categoryId"": ""0e8400-e29b-41d4-a716-446655440000""
      }
    }
  ]";"[
    {
      ""description"": ""Solo en tiendas seleccionadas"";
      ""iconUrl"": ""https://firebasestorage.googleapis.com/v0/b/pe-grupo-intercorp-cld-01.appspot.com/o/benefit%2Fpromotion%2Fcondition%2FIcono_tarjeta%403x.png?alt=media&token=18a497d7-d97b-4714-8e85-f93032e3bfed""
    }
  ]";"{
    ""commerceId"": ""0e8400-e29b-41d4-a716-446655440000"";
    ""lstStoreReference"": [
      {
        ""storeId"": ""0e8400-e29b-41d4-a716-446655440000""
      }
    ]
  }";923456723-qafjf-414sffs;400;;
4;Registrar promocion con price caracteres especiales - resultado 400;$#&+;PEN;Sabados;#002b65;Ver detalles;ALL;50% de descuento pagando con Tunki;Cineplanet;De lunes a viernes de 10:30 am a 11:00 PM;https://firebasestorage.googleapis.com/v0/b/pe-grupo-intercorp-cld-01.appspot.com/o/benefit%2Fpromotion%2Fsarcletti_background.png?alt=media&token=0f3dd8dc-7a8a-441b-bcce-393d29ef72d5;https://firebasestorage.googleapis.com/v0/b/pe-grupo-intercorp-cld-01.appspot.com/o/benefit%2Fpromotion%2Fsarcletti_logo.png?alt=media&token=4e59e3f0-292c-49ea-b4e7-6e1d4bfb140b;123456789;Presenta esta promoción al momento de hacer el pago con Tunki.;1;4/12/4009;31/12/4009;true;1;"[
    {
      ""category"": {
        ""categoryId"": ""0e8400-e29b-41d4-a716-446655440000""
      }
    }
  ]";"[
    {
      ""description"": ""Solo en tiendas seleccionadas"";
      ""iconUrl"": ""https://firebasestorage.googleapis.com/v0/b/pe-grupo-intercorp-cld-01.appspot.com/o/benefit%2Fpromotion%2Fcondition%2FIcono_tarjeta%403x.png?alt=media&token=18a497d7-d97b-4714-8e85-f93032e3bfed""
    }
  ]";"{
    ""commerceId"": ""0e8400-e29b-41d4-a716-446655440000"";
    ""lstStoreReference"": [
      {
        ""storeId"": ""0e8400-e29b-41d4-a716-446655440000""
      }
    ]
  }";923456723-qafjf-414sffs;400;;
5;Registrar promocion con price menor a carateres permitidos - resultado 400;0;PEN;Sabados;#002b65;Ver detalles;ALL;50% de descuento pagando con Tunki;Cineplanet;De lunes a viernes de 10:30 am a 11:00 PM;https://firebasestorage.googleapis.com/v0/b/pe-grupo-intercorp-cld-01.appspot.com/o/benefit%2Fpromotion%2Fsarcletti_background.png?alt=media&token=0f3dd8dc-7a8a-441b-bcce-393d29ef72d5;https://firebasestorage.googleapis.com/v0/b/pe-grupo-intercorp-cld-01.appspot.com/o/benefit%2Fpromotion%2Fsarcletti_logo.png?alt=media&token=4e59e3f0-292c-49ea-b4e7-6e1d4bfb140b;123456789;Presenta esta promoción al momento de hacer el pago con Tunki.;1;4/12/4009;31/12/4009;true;1;"[
    {
      ""category"": {
        ""categoryId"": ""0e8400-e29b-41d4-a716-446655440000""
      }
    }
  ]";"[
    {
      ""description"": ""Solo en tiendas seleccionadas"";
      ""iconUrl"": ""https://firebasestorage.googleapis.com/v0/b/pe-grupo-intercorp-cld-01.appspot.com/o/benefit%2Fpromotion%2Fcondition%2FIcono_tarjeta%403x.png?alt=media&token=18a497d7-d97b-4714-8e85-f93032e3bfed""
    }
  ]";"{
    ""commerceId"": ""0e8400-e29b-41d4-a716-446655440000"";
    ""lstStoreReference"": [
      {
        ""storeId"": ""0e8400-e29b-41d4-a716-446655440000""
      }
    ]
  }";923456723-qafjf-414sffs;400;;
6;Registrar promocion con price mayor a carateres permitidos - resultado 400;5.56E+13;PEN;Sabados;#002b65;Ver detalles;ALL;50% de descuento pagando con Tunki;Cineplanet;De lunes a viernes de 10:30 am a 11:00 PM;https://firebasestorage.googleapis.com/v0/b/pe-grupo-intercorp-cld-01.appspot.com/o/benefit%2Fpromotion%2Fsarcletti_background.png?alt=media&token=0f3dd8dc-7a8a-441b-bcce-393d29ef72d5;https://firebasestorage.googleapis.com/v0/b/pe-grupo-intercorp-cld-01.appspot.com/o/benefit%2Fpromotion%2Fsarcletti_logo.png?alt=media&token=4e59e3f0-292c-49ea-b4e7-6e1d4bfb140b;123456789;Presenta esta promoción al momento de hacer el pago con Tunki.;1;4/12/4009;31/12/4009;true;1;"[
    {
      ""category"": {
        ""categoryId"": ""0e8400-e29b-41d4-a716-446655440000""
      }
    }
  ]";"[
    {
      ""description"": ""Solo en tiendas seleccionadas"";
      ""iconUrl"": ""https://firebasestorage.googleapis.com/v0/b/pe-grupo-intercorp-cld-01.appspot.com/o/benefit%2Fpromotion%2Fcondition%2FIcono_tarjeta%403x.png?alt=media&token=18a497d7-d97b-4714-8e85-f93032e3bfed""
    }
  ]";"{
    ""commerceId"": ""0e8400-e29b-41d4-a716-446655440000"";
    ""lstStoreReference"": [
      {
        ""storeId"": ""0e8400-e29b-41d4-a716-446655440000""
      }
    ]
  }";923456723-qafjf-414sffs;400;;
7;Registrar promocion con currencyType en blanco - resultado 400;5;;Sabados;#002b65;Ver detalles;ALL;50% de descuento pagando con Tunki;Cineplanet;De lunes a viernes de 10:30 am a 11:00 PM;https://firebasestorage.googleapis.com/v0/b/pe-grupo-intercorp-cld-01.appspot.com/o/benefit%2Fpromotion%2Fsarcletti_background.png?alt=media&token=0f3dd8dc-7a8a-441b-bcce-393d29ef72d5;https://firebasestorage.googleapis.com/v0/b/pe-grupo-intercorp-cld-01.appspot.com/o/benefit%2Fpromotion%2Fsarcletti_logo.png?alt=media&token=4e59e3f0-292c-49ea-b4e7-6e1d4bfb140b;123456789;Presenta esta promoción al momento de hacer el pago con Tunki.;1;4/12/4009;31/12/4009;true;1;"[
    {
      ""category"": {
        ""categoryId"": ""0e8400-e29b-41d4-a716-446655440000""
      }
    }
  ]";"[
    {
      ""description"": ""Solo en tiendas seleccionadas"";
      ""iconUrl"": ""https://firebasestorage.googleapis.com/v0/b/pe-grupo-intercorp-cld-01.appspot.com/o/benefit%2Fpromotion%2Fcondition%2FIcono_tarjeta%403x.png?alt=media&token=18a497d7-d97b-4714-8e85-f93032e3bfed""
    }
  ]";"{
    ""commerceId"": ""0e8400-e29b-41d4-a716-446655440000"";
    ""lstStoreReference"": [
      {
        ""storeId"": ""0e8400-e29b-41d4-a716-446655440000""
      }
    ]
  }";923456723-qafjf-414sffs;400;;
8;Registrar promocion con currencyType caracteres especiales - resultado 400;5;$#&;Sabados;#002b65;Ver detalles;ALL;50% de descuento pagando con Tunki;Cineplanet;De lunes a viernes de 10:30 am a 11:00 PM;https://firebasestorage.googleapis.com/v0/b/pe-grupo-intercorp-cld-01.appspot.com/o/benefit%2Fpromotion%2Fsarcletti_background.png?alt=media&token=0f3dd8dc-7a8a-441b-bcce-393d29ef72d5;https://firebasestorage.googleapis.com/v0/b/pe-grupo-intercorp-cld-01.appspot.com/o/benefit%2Fpromotion%2Fsarcletti_logo.png?alt=media&token=4e59e3f0-292c-49ea-b4e7-6e1d4bfb140b;123456789;Presenta esta promoción al momento de hacer el pago con Tunki.;1;4/12/4009;31/12/4009;true;1;"[
    {
      ""category"": {
        ""categoryId"": ""0e8400-e29b-41d4-a716-446655440000""
      }
    }
  ]";"[
    {
      ""description"": ""Solo en tiendas seleccionadas"";
      ""iconUrl"": ""https://firebasestorage.googleapis.com/v0/b/pe-grupo-intercorp-cld-01.appspot.com/o/benefit%2Fpromotion%2Fcondition%2FIcono_tarjeta%403x.png?alt=media&token=18a497d7-d97b-4714-8e85-f93032e3bfed""
    }
  ]";"{
    ""commerceId"": ""0e8400-e29b-41d4-a716-446655440000"";
    ""lstStoreReference"": [
      {
        ""storeId"": ""0e8400-e29b-41d4-a716-446655440000""
      }
    ]
  }";923456723-qafjf-414sffs;400;;
9;Registrar promocion con currencyType menor a carateres permitidos - resultado 400;5;PE;Sabados;#002b65;Ver detalles;ALL;50% de descuento pagando con Tunki;Cineplanet;De lunes a viernes de 10:30 am a 11:00 PM;https://firebasestorage.googleapis.com/v0/b/pe-grupo-intercorp-cld-01.appspot.com/o/benefit%2Fpromotion%2Fsarcletti_background.png?alt=media&token=0f3dd8dc-7a8a-441b-bcce-393d29ef72d5;https://firebasestorage.googleapis.com/v0/b/pe-grupo-intercorp-cld-01.appspot.com/o/benefit%2Fpromotion%2Fsarcletti_logo.png?alt=media&token=4e59e3f0-292c-49ea-b4e7-6e1d4bfb140b;123456789;Presenta esta promoción al momento de hacer el pago con Tunki.;1;4/12/4009;31/12/4009;true;1;"[
    {
      ""category"": {
        ""categoryId"": ""0e8400-e29b-41d4-a716-446655440000""
      }
    }
  ]";"[
    {
      ""description"": ""Solo en tiendas seleccionadas"";
      ""iconUrl"": ""https://firebasestorage.googleapis.com/v0/b/pe-grupo-intercorp-cld-01.appspot.com/o/benefit%2Fpromotion%2Fcondition%2FIcono_tarjeta%403x.png?alt=media&token=18a497d7-d97b-4714-8e85-f93032e3bfed""
    }
  ]";"{
    ""commerceId"": ""0e8400-e29b-41d4-a716-446655440000"";
    ""lstStoreReference"": [
      {
        ""storeId"": ""0e8400-e29b-41d4-a716-446655440000""
      }
    ]
  }";923456723-qafjf-414sffs;400;;
10;Registrar promocion con currencyType mayor a carateres permitidos - resultado 400;5;PEN-PEN-PEN-PEN-PEN-p;Sabados;#002b65;Ver detalles;ALL;50% de descuento pagando con Tunki;Cineplanet;De lunes a viernes de 10:30 am a 11:00 PM;https://firebasestorage.googleapis.com/v0/b/pe-grupo-intercorp-cld-01.appspot.com/o/benefit%2Fpromotion%2Fsarcletti_background.png?alt=media&token=0f3dd8dc-7a8a-441b-bcce-393d29ef72d5;https://firebasestorage.googleapis.com/v0/b/pe-grupo-intercorp-cld-01.appspot.com/o/benefit%2Fpromotion%2Fsarcletti_logo.png?alt=media&token=4e59e3f0-292c-49ea-b4e7-6e1d4bfb140b;123456789;Presenta esta promoción al momento de hacer el pago con Tunki.;1;4/12/4009;31/12/4009;true;1;"[
    {
      ""category"": {
        ""categoryId"": ""0e8400-e29b-41d4-a716-446655440000""
      }
    }
  ]";"[
    {
      ""description"": ""Solo en tiendas seleccionadas"";
      ""iconUrl"": ""https://firebasestorage.googleapis.com/v0/b/pe-grupo-intercorp-cld-01.appspot.com/o/benefit%2Fpromotion%2Fcondition%2FIcono_tarjeta%403x.png?alt=media&token=18a497d7-d97b-4714-8e85-f93032e3bfed""
    }
  ]";"{
    ""commerceId"": ""0e8400-e29b-41d4-a716-446655440000"";
    ""lstStoreReference"": [
      {
        ""storeId"": ""0e8400-e29b-41d4-a716-446655440000""
      }
    ]
  }";923456723-qafjf-414sffs;400;;
